input_text,gpt_generated,system_generated,actual_standardized
kathi pesuratha thavira ivanuku ethume theriyathu mokkai same old,"வாய் பேசுவதைத்தவிர இவருக்கு எதுவும் தெரியாது, சலிப்பூட்டும் பழைய போக்கு.",கத்தி பேசுவது தவிர இவனுக்கு ஒன்றும் தெரியாது. மொக்கை அதே பழைய.,"கத்தி பேசுவதென்றால் தவிர, இவருக்கு எதுவும் தெரிந்திருப்பதில்லை, இது மொக்கை, பழையதாகவே உள்ளது."
Dei #Pink padam paathurukeengala ilaya da fight lam vechirukeenga,நீங்கள் #பிங்க் படத்தை பார்த்தீர்களா? இல்லையா? சண்டைகளையே மட்டும் வைத்திருக்கிறீர்கள்.,டேய் ஷபீம் படத்தில் நடித்தார். இளைய டா சண்டைகளில் நடித்தார்.,பிங்க் படம் பார்த்தீர்களா? இல்லையா? சண்டைகளையும் சேர்த்திருக்கின்றீர்கள்!
Thalaivar mass ah paththi theriyadhavanga yaarumey illa,தலைவரின் பெருமையைப் பற்றி அறியாதவர்கள் யாரும் இல்லை.,தலைவர் பதவியைத் துறந்தவர்கள் யாரும் இல்லை.,தலைவரின் மாஸைப் பற்றித் தெரியாதவர்கள் யாருமில்லை
Rajani the great ... Hit like if you like thaliavar and get rajinified,ரஜினி மிக சிறந்தவர்... தலைவரை விரும்பினால் விருப்பம் தெரிவித்து ரஜினியின் உணர்வில் மூழ்குங்கள்.,"ராஜனி தி பெரிய. வெற்றியைப்போல் நீங்கள் போன்ற தலைவராயிருப்பீர்கள், மற்றும் ரஜினியை பெறுவீர்கள்.","ரஜினி தி கிரேட்... நீங்கள் தலைவரை விரும்பினால் லைக் செய்யவும், ரஜினிபிட் ஆகவும்"
kk na kena koo koo** kedigala koondoda pudikravaru nu sola vanthan...,அவர் குழுவுடன் சேர்ந்து சிக்கல்களை உருவாக்குபவர் என்று கூற வந்துள்ளார்.,நானே கூ கேடுகளை கூண்டோடு புதைப்பவர் நு சோலா வந்தான்.,"கே கே, நான் கெனா கூ கூ**, கெடிகள் கூட்டுடன் பிடிக்கவரு என்று சொல்ல வந்தான்..."
Anil fans online la irundha like podunga paa,அனில் ரசிகர்கள் ஆன்லைனில் இருந்தால் விருப்பம் தெரிவியுங்கள்.,அனில் பெண்களின் எண்ணிக்கைகள் அதிகமாக இருந்தன.,அனில் ரசிகர்கள் ஆன்லைனில் இருந்தால் லைக் போடுங்கள் பா
I like no dahunsh bolt majju,எனக்கு தானுஷ் போல்ட் மிகவும் பிடிக்கும்.,"""நான்"" போல இல்லை. தனுஷ் போட் மஜிஜு.",நான் விரும்புகிறேன் இல்லை டஹுன்ஷ் போல்ட் மஜ்ஜு
varlam varlam vaaaa varlam vaa bairavaaaaa,"வரலாம், வரலாம், வா, வரலாம் பைரவா!",வரலாம் வரலாம் வாரலாம் வா பைரவ ஆவார்.,வாரலாம் வாரலாம் வா... வாரலாம் வா பைரவா
நாடக காதல் ஓகே ஆனா இதை பொள்ளாச்சி kadhal பத்தி பேசுங்க சேர்,"நாடகக் காதல் சரி, ஆனால் இந்த பொள்ளாச்சி காதல் பற்றி பேசுங்கள் அண்ணா.","நாடகம் காதல் என்று பொருள், ஆனால் இது பொள்ளாச்சி, காதல் பத்தி பேசுங்க சேர்.","நாடக காதல் ஓகே, ஆனால் இதைப் பொள்ளாச்சி காதலைப் பற்றி பேசுங்கள் சார்"
Waiting to see u Kajal on screen,திரையில் உங்களை காண ஆவலுடன் காத்திருக்கிறேன் காஜல்.,দেখতে காத்திருக்கும் யு காஜல் ஆன் திரை.,திரையில் உன்னை காணக் காத்திருக்கிறேன் காஜல்
leval surya pakka masss,சூர்யாவின் தரம் மிகச் சிறப்பானது.,லெவல் சூர்யா பக்கமும் இணைகிறது.,லெவல் சூர்யா பக்கா மாஸ்
Super star ku semma nose cut..,சூப்பர் ஸ்டாருக்கு பெரிய அதிர்ச்சி.,மாபெரும் நட்சத்திரம் செம்ம மூக்கு வெட்டு.,சூப்பர் ஸ்டாருக்கு செம்மா நாஸ் கட்...
நாடார் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு,நாடார் சமூகத்தின் சார்பாக படம் வெற்றி பெற எனது ஆதரவு உண்டு.,நாடார் சார்பு படம் வெற்றி பெற எனது ஆதரவு.,நாடார் சமூகத்தின் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு
Intha nattula ovanum ovaru paithiyam avanuku intha naatu mele paithiyam,"இந்த நாட்டில் ஒவ்வொருவரும் தனித்தனி பைத்தியங்கள், அவனுக்கு இந்த நாட்டின் மீது பைத்தியம்.",இம்நாட்டில் யோவான் ஒவ்வொருவருக்கும் பைத்தியம் அவனுக்கு இம்நாட்டம் மிகவும் பைத்தியம்.,இந்த நாட்டில் ஒவ்வொருவரும் ஒரு பைத்தியம். அவனுக்கு இந்த நாட்டின் மீது பைத்தியம்
Marumalarchikku piraku veali vantha vanniya thiraippadam  By dineshkanna07dk@gmail.com,மறுமலர்ச்சிக்குப் பிறகு வெளிவந்த வன்னியர் திரைப்படம். (dineshkanna07dk@gmail.com மூலம்),மறுமலர்ச்சிக்குப் பின்னர் வெள்ளித்திரைப்படத்தின் மூலம் தினேஷ்கன்ன07டக்@ஜிமெயில் நடித்தார். குழந்தைப்பருவ தோழி.,மறுமலர்ச்சிக்கு பிறகு வெளியான வன்னிய திரை படம்
Wakeup anadhum teaser pathavangale like podunga,விழித்தவுடன் டீசர் பார்த்தவர்கள் விருப்பம் தெரிவியுங்கள்.,வாக்கெடுப்பதும் ஆசிரியர் பதவைகள் போன்றவை போடப்படுகின்றன.,விழித்துக்கொண்டதும் டீசர் பார்த்தவர்கள் லைக் போடுங்கள்
After watching Sirikki song...@ny one here?,சிரிக்கி பாடலை பார்த்த பிறகு... யாரேனும் இங்கே இருக்கிறீர்களா?,பின் காண்பது சிறுக்கி பாடல். ஒன்று இங்கு.,சிறிக்கி பாடலை பார்த்த பிறகு... யாராவது இங்கே?
இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படம் பத்தி பத்தி சமூக வலைத்தளங்களில் ட்ரெண்டிங் செய்யுங்கள்.,இந்த திரைப்படம் வெற்றி பெற கம்மவர் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படத்தைப் பற்றி சமூக வலைத்தளங்களில் பரப்புங்கள்.,இத்திரைப்படம் வெற்றி பெற்றமைக்கு கம்மவர் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இப்படத்தை சமூக வலைத் தளங்களில் ட்ரென்டுங்கள்.,இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படத்தை சமூக வலைதளங்களில் டிரெண்ட் செய்யுங்கள்
Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp,ஒரு நட்சத்திரத்தின் மீது விசுவாசம் குறைக்க ஒரு மாத காலம் எதற்காக தொந்தரவு செய்கிறீர்கள்... #Nkp,ஒரு தார்மேளா விசுவாச கட்டமைப்பைக் கொண்டது; ஒரு தேங்கில் எனக்கு அசைகிங்காபட்டுத்திரிந்தது. குழந்தைப்பருவ தோழி.,ஒரு தர மேல விசுவாசம் கடத்துறதுக்காக இன்னொரு திங்களுக்காக எதுக்கு? அசிங்கப்படுத்துறீங்க
தமிழில் இது போல் பல படங்கள் வந்துள்ளன ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு சொல்லுங்கள்,தமிழில் இதுபோன்ற பல படங்கள் வந்துள்ளன. அப்போது ஏன் எதிர்ப்பு தெரிவிக்கவில்லை? இந்தப் படத்திற்கே மட்டும் ஏன் இவ்வளவு எதிர்ப்பு?,தமிழில் இத்தகைய பல திரைப்படங்கள் வந்துள்ளன. இதற்கு முன்பு ஏன் எதிர்ப்பு தெரிவிக்கப்படவில்லை? இப்படத்திற்கு மட்டுமே ஏன் எதிர்ப்பு கூறப்படுகிறது?,தமிழில் இதுபோல் பல படங்கள் வந்துள்ளன. ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை? இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு? சொல்லுங்கள்
I think Joseph kuruvila is from kerala (kottayam),"என நினைக்கிறேன், ஜோசப் குருவிலா கேரளாவின் (கோட்டயம்) பகுதிக்கு சேர்ந்தவர்.",யசப் குருவிழா என்று கருதப்படுவது கேரளாவிலிருந்து வந்தது.,எனக்கு தோன்றுகிறது ஜோசப் குருவிலா கேரளா (கோட்டயம்) என்பவராக இருக்கலாம்
Un like pantravanlam kantippa paraiyanunga thaan,விருப்பு தெரிவிக்காதவர்கள் கண்டிப்பாக தாழ்த்தப்பட்டவர்கள் தான்.,ஐ.நா. போன்ற அமைப்புக்கள் கண்டிப்பாக செயல்படுகின்றன.,அன் லைக் பண்றவங்களும் கண்டிப்பா பாரையனுங்க தான்
நான் அரசியலுக்கு வருவது உறுதி....இது 1996  ( இன்னுமாடா ரஜினியை நம்புகிறீர்கள் ),நான் அரசியலுக்கு வருவது உறுதி.... இது 1996. (இன்னும் ரஜினியை நம்புகிறீர்களா?),Error: 'output',நான் அரசியலுக்கு வருவது உறுதி... இது 1996 (இன்னுமா ரஜினியை நம்புகிறீர்கள்?)
Saathiya vachi easy ah govt job ku poiduranga just pass anavanga  Thiramai irunthum Nalla mark vangium nammala job ku poga mudiala  Thiramai yai Inga caste tha niranaikirathu avanoda padippu ila,"சாதியை வைத்து எளிதாக அரசு வேலைக்கு சென்று விடுகிறார்கள், வெறும் தேர்ச்சி பெற்றவர்களே. திறமை இருந்தும் நல்ல மதிப்பெண் பெற்ற நாமோ வேலைக்கு செல்ல முடியவில்லை. திறமையை இங்கே சாதியே நிர்ணயிக்கிறது, அவர்களின் படிப்பு அல்ல.",சாத்தியமான வச்சி எளிதானது; வேலையைச் செய்தால் வெளியேற்றப்படுவார்கள்; சிறந்த இலக்கு பெற்றவர்கள்; மற்றும் எங்களது வேலைசெய்து செல்வதற்கான திறனை இங்கேக் கட்டுப்படுத்துகின்றார்.,"சாத்தியா வைத்து எளிதாக அரசு வேலைக்கு போயிடுறாங்க, ஜஸ்ட் பாஸ் ஆனவங்க. திறமை இருந்தும் நல்ல மதிப்பெண் வாங்கியும் நம்மால் வேலைக்கு போக முடியவில்லை. திறமையை இங்கு சாதியே நிர்ணயிக்கிறது, அவனுடைய படிப்பு இல்லை"
Padam diwali kku vantha sottaian odiduvaan,படம் தீபாவளிக்கு வந்தால் சோட்டையன் ஓடி விடுவான்.,படத்தில் தீவாளிக்கு வந்த சோட்டை ஓடும்.,படம் தீபாவளிக்குத் வந்தால் சோத்தையன் ஓடிவிடுவான்
Jii padam epo ji release agum,"ஜி, படம் எப்போது வெளியிடப்படும்?",படம் எப்போதாவது வெளியிடப்படுகிறது.,ஜி படம் எப்போது ஜி வெளியீடு ஆகும்?
Thala vera level BGM vera level,தலைவரின் பின்னணி இசை மிக உயர்ந்த தரத்தில் உள்ளது.,தல வேர நிலை பிகும் வேர நிலை.,"தலைவா வேற நிலை, பின்னணி இசை வேற நிலை"
ADHU 90 KIDS KU PERUMA DA PODRA PODRA,"அது 90களில் பிறந்த குழந்தைகளுக்குப் பெருமை, வாழ்த்துக்கள்.",அது 90 கி.டி. பெருமை கொண்டது.,அது 90களில் பிறந்த குழந்தைகளுக்கு பெருமை போட்ரா போட்ரா!
All the best to the team....super ah na Oru kadhai Karu...ippa irukura ponnugaluku Oru lesson ah irukum,அணிக்கு அனைத்து நல்வாழ்த்துகளும். மிகச் சிறந்த கதை அமைப்பு... தற்போது இருக்கும் பெண்களுக்கு இது ஒரு பாடமாக இருக்கும்.,அனைத்தும் தி சிறந்து தி அணி. சூப்பர் ஆ நா ஒரு கதை கருவி. இவற்றில் பொண்ணுக்கு ஒரு பாடலாக இருக்கும்.,குழுவுக்கு வாழ்த்துகள்.... சூப்பர் கதை கரு... இப்போது இருக்கும் பெண்களுக்கு ஒரு பாடமாக இருக்கும்
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,"தலைவருடன் ஒப்பிட யாருக்கும் தகுதி இல்லை, நினைவில் கொள்ளுங்கள்.",தல கோடா ஒப்பிடுப்பதில் எவருக்கும் தகுதி இல்லை மனம் அது.,"தலைவா கூட ஒப்பிட யாருக்கும் தகுதி கிடையாது, நினைவில் கொள்க"
Haterz Will See Our Rage On Aug24,எதிர்ப்பாளர்கள் ஆகஸ்ட் 24 அன்று எங்கள் கோபத்தை காண்பார்கள்.,ஹாட்டர்ஸ் விருப்பத்தை காண்பது எங்கள் ஆத்திரமும் ஆகும்.,வெறுப்பாளர்கள் ஆகஸ்ட் 24 அன்று எங்கள் கோபத்தை பார்ப்பார்கள்
நான் தேவர் சமூகத்தை சேர்ந்தவன் நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா கான வாழ்த்துகிறேன் நண்பா,"நான் தேவர் சமூகத்தை சேர்ந்தவன். நாடகக் காதலை ஒழித்து, இந்தப் படம் வெற்றி பெற வாழ்த்துகிறேன் நண்பா.","நான் தேவர் சமூகத்தைச் சார்ந்தவர், நாடகக் காதலை ஒழிக்க இப்படத்தை வெள்ளி விழாக் காண்பிக்கிறேன். நண்பா.",நான் தேவர் சமூகத்தை சேர்ந்தவன். நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா காண வாழ்த்துகிறேன் நண்பா
.5 % கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது,0.5% கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது.,கூடுதலாக அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது.,0.5% கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது
Sangar.... Sangar ra etha movie direct pannala,சங்கர்... சங்கர் எந்த திரைப்படத்தையும் இயக்கவில்லை.,சங்கர். சங்கர் ஆர்.ஏ.வின் எத்தகைய திரைப்படம் நேரடியாக எடுக்கப்படுகிறது.,"சங்கர்... சங்கர் ரா, எந்தப் படத்தையும் இயக்கவில்லை"
வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.,வேலூர்வன்னியச்சி சார்பு படம் வெற்றி பெற வாழ்த்துகள்.,வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
Ayan Surya is back 4 getups,அயன் சூர்யா நான்கு வேடங்களில் திரும்பியுள்ளார்.,அயன் சூர்யா என்பது பின் 4 அழைக்கப்பெறுகிறார்.,அயன் சூர்யா மீண்டும் 4 வேடங்களில்
Ajith surya rasigar pooram oompa vantanuka,"அஜித், சூர்யா ரசிகர் கூட்டம் ஒன்று திரண்டது.","அஜித், சூர்யா ரசிகர்களை ஊக்குவித்தார்.",அஜித்-சூர்யா ரசிகர் கூட்டம் ஊம்ப வந்தனுகா
Padam vera level dhanush vettri brilliant must watch,"படம் மிக உயர்ந்த தரத்தில் உள்ளது, தனுஷின் வெற்றி சிறப்பானது, கண்டிப்பாக பார்க்க வேண்டியது.",படம் வெற்றி பெற்றால் புத்திசாலியாக வேண்டும்.,"படம் வெறி லெவல், தனுஷின் வெற்றி, பிரில்லியன்ட், கண்டிப்பாக பாருங்கள்"
Next sooraraipottru teaser marana waiting Suriya Anna,"அடுத்த சூரரைப் போற்று டீசருக்காக மிகுந்த ஆவலுடன் காத்திருக்கிறோம், சூர்யா அண்ணா.",பின்னர் சூரரைப்போல் ஆசிரியரின் இறப்பு காத்திருக்கிறது.,"அடுத்தது சூரரைப் போற்று   ஆவலுடன் எதிர்பார்க்கிறோம், சூர்யா அண்ணா!"
Look like remake of pink movie,இது பிங்க் திரைப்படத்தின் மறுஉருவாக்கம் போல தெரிகிறது.,பார் என்னும் திரைப்படத்தின் ரீ-மேக் இளஞ்சிவப்பு.,இளஞ்சிவப்பு படத்தின் மீளுருவாக்கம் போல தோன்றுகிறது
