Input Sentence,Literary Tamil Translation
நாடக காதல் ஓகே ஆனா இதை பொள்ளாச்சி kadhal பத்தி பேசுங்க சேர்,"நாடக காதல் ஓகே, ஆனால் இதைப் பொள்ளாச்சி காதலைப் பற்றி பேசுங்கள் சார்"
Waiting to see u Kajal on screen,திரையில் உன்னை காணக் காத்திருக்கிறேன் காஜல்
leval surya pakka masss,லெவல் சூர்யா பக்கா மாஸ்
Super star ku semma nose cut..,சூப்பர் ஸ்டாருக்கு செம்மா நாஸ் கட்...
நாடார் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு,நாடார் சமூகத்தின் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு
Intha nattula ovanum ovaru paithiyam avanuku intha naatu mele paithiyam,இந்த நாட்டில் ஒவ்வொருவரும் ஒரு பைத்தியம். அவனுக்கு இந்த நாட்டின் மீது பைத்தியம்
Marumalarchikku piraku veali vantha vanniya thiraippadam  By dineshkanna07dk@gmail.com,மறுமலர்ச்சிக்கு பிறகு வெளியான வன்னிய திரை படம்
Wakeup anadhum teaser pathavangale like podunga,விழித்துக்கொண்டதும் டீசர் பார்த்தவர்கள் லைக் போடுங்கள்
After watching Sirikki song...@ny one here?,சிறிக்கி பாடலை பார்த்த பிறகு... யாராவது இங்கே?
இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படம் பத்தி பத்தி சமூக வலைத்தளங்களில் ட்ரெண்டிங் செய்யுங்கள்.,இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படத்தை சமூக வலைதளங்களில் டிரெண்ட் செய்யுங்கள்
Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp,ஒரு தர மேல விசுவாசம் கடத்துறதுக்காக இன்னொரு திங்களுக்காக எதுக்கு? அசிங்கப்படுத்துறீங்க
தமிழில் இது போல் பல படங்கள் வந்துள்ளன ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு சொல்லுங்கள்,தமிழில் இதுபோல் பல படங்கள் வந்துள்ளன. ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை? இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு? சொல்லுங்கள்
I think Joseph kuruvila is from kerala (kottayam),எனக்கு தோன்றுகிறது ஜோசப் குருவிலா கேரளா (கோட்டயம்) என்பவராக இருக்கலாம்
Un like pantravanlam kantippa paraiyanunga thaan,அன் லைக் பண்றவங்களும் கண்டிப்பா பாரையனுங்க தான்
நான் அரசியலுக்கு வருவது உறுதி....இது 1996  ( இன்னுமாடா ரஜினியை நம்புகிறீர்கள் ),நான் அரசியலுக்கு வருவது உறுதி... இது 1996 (இன்னுமா ரஜினியை நம்புகிறீர்கள்?)
Saathiya vachi easy ah govt job ku poiduranga just pass anavanga Thiramai irunthum Nalla mark vangium nammala job ku poga mudiala Thiramai yai Inga caste tha niranaikirathu avanoda padippu ila,"சாத்தியா வைத்து எளிதாக அரசு வேலைக்கு போயிடுறாங்க, ஜஸ்ட் பாஸ் ஆனவங்க. திறமை இருந்தும் நல்ல மதிப்பெண் வாங்கியும் நம்மால் வேலைக்கு போக முடியவில்லை. திறமையை இங்கு சாதியே நிர்ணயிக்கிறது, அவனுடைய படிப்பு இல்லை"
Padam diwali kku vantha sottaian odiduvaan,படம் தீபாவளிக்குத் வந்தால் சோத்தையன் ஓடிவிடுவான்
Jii padam epo ji release agum,ஜி படம் எப்போது ஜி வெளியீடு ஆகும்?
Thala vera level BGM vera level,"தலைவா வேற நிலை, பின்னணி இசை வேற நிலை"
ADHU 90 KIDS KU PERUMA DA PODRA PODRA,அது 90களில் பிறந்த குழந்தைகளுக்கு பெருமை போட்ரா போட்ரா!
All the best to the team....super ah na Oru kadhai Karu...ippa irukura ponnugaluku Oru lesson ah irukum,குழுவுக்கு வாழ்த்துகள்.... சூப்பர் கதை கரு... இப்போது இருக்கும் பெண்களுக்கு ஒரு பாடமாக இருக்கும்
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,"தலைவா கூட ஒப்பிட யாருக்கும் தகுதி கிடையாது, நினைவில் கொள்க"
Haterz Will See Our Rage On Aug24,வெறுப்பாளர்கள் ஆகஸ்ட் 24 அன்று எங்கள் கோபத்தை பார்ப்பார்கள்
நான் தேவர் சமூகத்தை சேர்ந்தவன் நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா கான வாழ்த்துகிறேன் நண்பா,நான் தேவர் சமூகத்தை சேர்ந்தவன். நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா காண வாழ்த்துகிறேன் நண்பா
.5 % கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது,0.5% கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது
Sangar.... Sangar ra etha movie direct pannala,"சங்கர்... சங்கர் ரா, எந்தப் படத்தையும் இயக்கவில்லை"
வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துகள்
Ayan Surya is back 4 getups,அயன் சூர்யா மீண்டும் 4 வேடங்களில்
Ajith surya rasigar pooram oompa vantanuka,அஜித்-சூர்யா ரசிகர் கூட்டம் ஊம்ப வந்தனுகா
Padam vera level dhanush vettri brilliant must watch,"படம் வெறி லெவல், தனுஷின் வெற்றி, பிரில்லியன்ட், கண்டிப்பாக பாருங்கள்"
Next sooraraipottru teaser marana waiting Suriya Anna,"அடுத்தது சூரரைப் போற்று   ஆவலுடன் எதிர்பார்க்கிறோம், சூர்யா அண்ணா!"
Look like remake of pink movie,இளஞ்சிவப்பு படத்தின் மீளுருவாக்கம் போல தோன்றுகிறது
