input,output,prompt_id
varlam varlam vaaaa varlam vaa bairavaaaaa,"வரலாம், வரலாம், வா, வரலாம் பைரவா!",17
நாடக காதல் ஓகே ஆனா இதை பொள்ளாச்சி kadhal பத்தி பேசுங்க சேர்,"நாடகக் காதல் சரி, ஆனால் இந்த பொள்ளாச்சி காதல் பற்றி பேசுங்கள் அண்ணா.",18
Waiting to see u Kajal on screen,திரையில் உங்களை காண ஆவலுடன் காத்திருக்கிறேன் காஜல்.,19
leval surya pakka masss,சூர்யாவின் தரம் மிகச் சிறப்பானது.,20
Super star ku semma nose cut..,சூப்பர் ஸ்டாருக்கு பெரிய அதிர்ச்சி.,21
நாடார் சார்பாக படம் வெற்றி பெற என் ஆதரவு உண்டு,நாடார் சமூகத்தின் சார்பாக படம் வெற்றி பெற எனது ஆதரவு உண்டு.,22
Intha nattula ovanum ovaru paithiyam avanuku intha naatu mele paithiyam,"இந்த நாட்டில் ஒவ்வொருவரும் தனித்தனி பைத்தியங்கள், அவனுக்கு இந்த நாட்டின் மீது பைத்தியம்.",23
Marumalarchikku piraku veali vantha vanniya thiraippadam  By dineshkanna07dk@gmail.com,மறுமலர்ச்சிக்குப் பிறகு வெளிவந்த வன்னியர் திரைப்படம். (dineshkanna07dk@gmail.com மூலம்),24
Wakeup anadhum teaser pathavangale like podunga,விழித்தவுடன் டீசர் பார்த்தவர்கள் விருப்பம் தெரிவியுங்கள்.,25
After watching Sirikki song...@ny one here?,சிரிக்கி பாடலை பார்த்த பிறகு... யாரேனும் இங்கே இருக்கிறீர்களா?,26
இந்த திரைப்படம் வெற்றி பெற கம்மவார் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படம் பத்தி பத்தி சமூக வலைத்தளங்களில் ட்ரெண்டிங் செய்யுங்கள்.,இந்த திரைப்படம் வெற்றி பெற கம்மவர் நாயுடு மக்கள் சார்பாக வாழ்த்துக்கள். இந்த திரைப்படத்தைப் பற்றி சமூக வலைத்தளங்களில் பரப்புங்கள்.,27
Oru thar Mela viswasam kaddurathukka ka enni oru thaingaala eathukku Asikingaa padduthiringaa ...#Nkp,ஒரு நட்சத்திரத்தின் மீது விசுவாசம் குறைக்க ஒரு மாத காலம் எதற்காக தொந்தரவு செய்கிறீர்கள்... #Nkp,28
தமிழில் இது போல் பல படங்கள் வந்துள்ளன ஏன் அப்போது எதிர்ப்பு தெரிவிக்கவில்லை இந்த படத்திற்கு மட்டும் ஏன் இவ்வளவு எதிர்ப்பு சொல்லுங்கள்,தமிழில் இதுபோன்ற பல படங்கள் வந்துள்ளன. அப்போது ஏன் எதிர்ப்பு தெரிவிக்கவில்லை? இந்தப் படத்திற்கே மட்டும் ஏன் இவ்வளவு எதிர்ப்பு?,29
I think Joseph kuruvila is from kerala (kottayam),"என நினைக்கிறேன், ஜோசப் குருவிலா கேரளாவின் (கோட்டயம்) பகுதிக்கு சேர்ந்தவர்.",30
Un like pantravanlam kantippa paraiyanunga thaan,விருப்பு தெரிவிக்காதவர்கள் கண்டிப்பாக தாழ்த்தப்பட்டவர்கள் தான்.,31
நான் அரசியலுக்கு வருவது உறுதி....இது 1996  ( இன்னுமாடா ரஜினியை நம்புகிறீர்கள் ),நான் அரசியலுக்கு வருவது உறுதி.... இது 1996. (இன்னும் ரஜினியை நம்புகிறீர்களா?),32
Saathiya vachi easy ah govt job ku poiduranga just pass anavanga  Thiramai irunthum Nalla mark vangium nammala job ku poga mudiala  Thiramai yai Inga caste tha niranaikirathu avanoda padippu ila,"சாதியை வைத்து எளிதாக அரசு வேலைக்கு சென்று விடுகிறார்கள், வெறும் தேர்ச்சி பெற்றவர்களே. திறமை இருந்தும் நல்ல மதிப்பெண் பெற்ற நாமோ வேலைக்கு செல்ல முடியவில்லை. திறமையை இங்கே சாதியே நிர்ணயிக்கிறது, அவர்களின் படிப்பு அல்ல.",33
Padam diwali kku vantha sottaian odiduvaan,படம் தீபாவளிக்கு வந்தால் சோட்டையன் ஓடி விடுவான்.,34
Jii padam epo ji release agum,"ஜி, படம் எப்போது வெளியிடப்படும்?",35
Thala vera level BGM vera level,தலைவரின் பின்னணி இசை மிக உயர்ந்த தரத்தில் உள்ளது.,36
ADHU 90 KIDS KU PERUMA DA PODRA PODRA,"அது 90களில் பிறந்த குழந்தைகளுக்குப் பெருமை, வாழ்த்துக்கள்.",37
All the best to the team....super ah na Oru kadhai Karu...ippa irukura ponnugaluku Oru lesson ah irukum,அணிக்கு அனைத்து நல்வாழ்த்துகளும். மிகச் சிறந்த கதை அமைப்பு... தற்போது இருக்கும் பெண்களுக்கு இது ஒரு பாடமாக இருக்கும்.,38
Thala koda compare panna yarukum thakuthi kidaiyathu mind it,"தலைவருடன் ஒப்பிட யாருக்கும் தகுதி இல்லை, நினைவில் கொள்ளுங்கள்.",39
Haterz Will See Our Rage On Aug24,எதிர்ப்பாளர்கள் ஆகஸ்ட் 24 அன்று எங்கள் கோபத்தை காண்பார்கள்.,40
நான் தேவர் சமூகத்தை சேர்ந்தவன் நாடக காதலை ஒழித்து கட்ட இந்த படம் வெள்ளி விழா கான வாழ்த்துகிறேன் நண்பா,"நான் தேவர் சமூகத்தை சேர்ந்தவன். நாடகக் காதலை ஒழித்து, இந்தப் படம் வெற்றி பெற வாழ்த்துகிறேன் நண்பா.",41
.5 % கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது,0.5% கூட அசுரன் படத்தின் வசூலை மிஞ்ச முடியாது.,42
Sangar.... Sangar ra etha movie direct pannala,சங்கர்... சங்கர் எந்த திரைப்படத்தையும் இயக்கவில்லை.,43
வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,வேலூர் வன்னியச்சி சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்.,44
Ayan Surya is back 4 getups,அயன் சூர்யா நான்கு வேடங்களில் திரும்பியுள்ளார்.,45
Ajith surya rasigar pooram oompa vantanuka,"அஜித், சூர்யா ரசிகர் கூட்டம் ஒன்று திரண்டது.",46
Padam vera level dhanush vettri brilliant must watch,"படம் மிக உயர்ந்த தரத்தில் உள்ளது, தனுஷின் வெற்றி சிறப்பானது, கண்டிப்பாக பார்க்க வேண்டியது.",47
Next sooraraipottru teaser marana waiting Suriya Anna,"அடுத்த சூரரைப் போற்று டீசருக்காக மிகுந்த ஆவலுடன் காத்திருக்கிறோம், சூர்யா அண்ணா.",48
Look like remake of pink movie,இது பிங்க் திரைப்படத்தின் மறுஉருவாக்கம் போல தெரிகிறது.,49
