"inputWord","inputType","output","actualOutput"
"epiy.","Legacy Font Encoding","நிலை.","நிலை."
"vd;","Legacy Font Encoding","என்","என்"
">yf;fpag;","Legacy Font Encoding","இலக்கியப்","இலக்கியப்"
"gazj;jpNy","Legacy Font Encoding","பயணத்திலே","பயணத்திலே"
"Ra","en","Ra","சுய"
"Gfo;,","Legacy Font Encoding","புகழ்இ","புகழ்இ"
"gpugyk;","Legacy Font Encoding","பிரபலம்","பிரபலம்"
"Mfpa","Legacy Font Encoding","ஆகிய","ஆகிய"
"rpwpa","Legacy Font Encoding","சிறிய","சிறிய"
"MirfspypUe;J","Legacy Font Encoding","ஆசைகளிலிருந்து","ஆசைகளிலிருந்து"
"tpLgl;L","Legacy Font Encoding","விடுபட்டு","விடுபட்டு"
">yf;fpa","Legacy Font Encoding","இலக்கிய","இலக்கிய"
"Copaj;ij","Legacy Font Encoding","ஊழியத்தை","ஊழியத்தை"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"r%f","Legacy Font Encoding","சமூக","சமூக"
"Copakhf","Legacy Font Encoding","ஊழியமாக","ஊழியமாக"
"Nkw;nfhz;L","Legacy Font Encoding","மேற்கொண்டு","மேற்கொண்டு"
"tpl;Nld;","Legacy Font Encoding","விட்டேன்","விட்டேன்"
"vd;gijf;","Legacy Font Encoding","என்பதைக்","என்பதைக்"
"Fwpapl;Lr;","Legacy Font Encoding","குறியிட்டுச்","குறியிட்டுச்"
"nrhy;tJjhd;","Legacy Font Encoding","சொல்வதுதான்","சொல்வதுதான்"
"'tP'","Legacy Font Encoding","'வீ'","'வீ'"
"vd;;fpw","Legacy Font Encoding","என்;கிற","என்;கிற"
"jiyg;G.","Legacy Font Encoding","தலைப்பு.","தலைப்பு."
"jp.Qh.","Legacy Font Encoding","தி.ஞா.","தி.ஞா."
":-","Legacy Font Encoding",":-",":-"
"jq;fsJ","Legacy Font Encoding","தங்களது","தங்களது"
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"eil","Romanized Text Encoding","யில்","நடை"
"jdpj;JtkhdJ.","Legacy Font Encoding","தனித்துவமானது.","தனித்துவமானது."
"jq;fsJ","Legacy Font Encoding","தங்களது","தங்களது"
"fUj;JfSf;F","Legacy Font Encoding","கருத்துகளுக்கு","கருத்துகளுக்கு"
"vjph;khwhd","Legacy Font Encoding","எதிர்மாறான","எதிர்மாறான"
"fUj;Jfisf;","Legacy Font Encoding","கருத்துகளைக்","கருத்துகளைக்"
"nfhz;lth;fshYk;","Legacy Font Encoding","கொண்டவர்களாலும்","கொண்டவர்களாலும்"
"mJ","Legacy Font Encoding","அது","அது"
"rpyhfpj;Jg;","Legacy Font Encoding","சிலாகித்துப்","சிலாகித்துப்"
"Ngrg;gLfpwJ.","Legacy Font Encoding","பேசப்படுகிறது.","பேசப்படுகிறது."
"MdhYk;","Legacy Font Encoding","ஆனாலும்","ஆனாலும்"
">j;jifa","Legacy Font Encoding","இத்தகைய","இத்தகைய"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"rpwg;ghd","Legacy Font Encoding","சிறப்பான","சிறப்பான"
"eil","Romanized Text Encoding","யில்","நடை"
"iftug;ngw;w","Legacy Font Encoding","கைவரப்பெற்ற","கைவரப்பெற்ற"
"jhq;fs;","Legacy Font Encoding","தாங்கள்","தாங்கள்"
"cq;fsJ","Legacy Font Encoding","உங்களது","உங்களது"
"jpwikfis","Legacy Font Encoding","திறமைகளை","திறமைகளை"
"kw;wth;fisg;","Legacy Font Encoding","மற்றவர்களைப்","மற்றவர்களைப்"
"gw;wpf;","Legacy Font Encoding","பற்றிக்","பற்றிக்"
"fpz;ly;","Legacy Font Encoding","கிண்டல்","கிண்டல்"
"nra;tjpYk;","Legacy Font Encoding","செய்வதிலும்","செய்வதிலும்"
"ieahz;b","Legacy Font Encoding","நையாண்டி","நையாண்டி"
"nra;tjpYk;","Legacy Font Encoding","செய்வதிலும்","செய்வதிலும்"
"tPzbf;fpwPh;fs;","Legacy Font Encoding","வீணடிக்கிறீர்கள்","வீணடிக்கிறீர்கள்"
"vd;w","Legacy Font Encoding","என்ற","என்ற"
"fUj;Jk;","Legacy Font Encoding","கருத்தும்","கருத்தும்"
"epyTfpwJ.","Legacy Font Encoding","நிலவுகிறது.","நிலவுகிறது."
">jw;Fj;","Legacy Font Encoding","இதற்குத்","இதற்குத்"
"jq;fsJ","Legacy Font Encoding","தங்களது","தங்களது"
"gjpy;","Legacy Font Encoding","பதில்","பதில்"
"ahJO","Legacy Font Encoding","யாதுழு","யாதுழு"
"v];.ngh:-","Legacy Font Encoding","எஸ்.பொ:-","எஸ்.பொ:-"
"mz;ikf;","Legacy Font Encoding","அண்மைக்","அண்மைக்"
"fhyj;jpy;","Legacy Font Encoding","காலத்தில்","காலத்தில்"
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"ehl;by;","Legacy Font Encoding","நாட்டில்","நாட்டில்"
"vd;","Legacy Font Encoding","என்","என்"
"jkpo;eil","Legacy Font Encoding","தமிழ்நடை","தமிழ்நடை"
"Fwpj;J","Legacy Font Encoding","குறித்து","குறித்து"
"tphpthd","Legacy Font Encoding","விரிவான","விரிவான"
"tpthjq;fs;","Legacy Font Encoding","விவாதங்கள்","விவாதங்கள்"
"elj;j","Legacy Font Encoding","நடத்த","நடத்த"
"Neh;e;jJ.","Legacy Font Encoding","நேர்ந்தது.","நேர்ந்தது."
"jdpj;","Legacy Font Encoding","தனித்","தனித்"
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
">af;fj;jpdh;","Legacy Font Encoding","இயக்கத்தினர்","இயக்கத்தினர்"
">yf;fpaj;jpw;F","Legacy Font Encoding","இலக்கியத்திற்கு","இலக்கியத்திற்கு"
"mg;ghw;gl;l","Legacy Font Encoding","அப்பாற்பட்ட","அப்பாற்பட்ட"
">af;f","Legacy Font Encoding","இயக்க","இயக்க"
"Njitf;fhf","Legacy Font Encoding","தேவைக்காக","தேவைக்காக"
"jdpj;jkpo;","Legacy Font Encoding","தனித்தமிழ்","தனித்தமிழ்"
"vd;W","Legacy Font Encoding","என்று","என்று"
"thjhLfpwhh;fs;.","Legacy Font Encoding","வாதாடுகிறார்கள்.","வாதாடுகிறார்கள்."
"nrhw;fspd;","Legacy Font Encoding","சொற்களின்","சொற்களின்"
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"tPjhrhuf;","Legacy Font Encoding","வீதாசாரக்","வீதாசாரக்"
"fyitia","Legacy Font Encoding","கலவையை","கலவையை"
"eph;zapg;Nghh;","Legacy Font Encoding","நிர்ணயிப்போர்","நிர்ணயிப்போர்"
"gilg;ghspfshf","Legacy Font Encoding","படைப்பாளிகளாக","படைப்பாளிகளாக"
"cah;e;jjpy;iy.","Legacy Font Encoding","உயர்ந்ததில்லை.","உயர்ந்ததில்லை."
"ghujpjhrd;$l","Legacy Font Encoding","பாரதிதாசன்$ட","பாரதிதாசன்$ட"
"jdpj;jkpo;","Legacy Font Encoding","தனித்தமிழ்","தனித்தமிழ்"
"gpurhufuha;","Legacy Font Encoding","பிரசாரகராய்","பிரசாரகராய்"
"te;j","Legacy Font Encoding","வந்த","வந்த"
"gpwF","Legacy Font Encoding","பிறகு","பிறகு"
"jdJ","Legacy Font Encoding","தனது","தனது"
"tPr;rpid","Legacy Font Encoding","வீச்சினை","வீச்சினை"
">oe;jhh;.","Legacy Font Encoding","இழந்தார்.","இழந்தார்."
"jkpo;","Legacy Font Encoding","தமிழ்","தமிழ்"
"kf;fs;","Legacy Font Encoding","மக்கள்","மக்கள்"
"gapYk;","Legacy Font Encoding","பயிலும்","பயிலும்"
"nrhw;fs;","Legacy Font Encoding","சொற்கள்","சொற்கள்"
"Njit.","Legacy Font Encoding","தேவை.","தேவை."
"MWKf","Legacy Font Encoding","ஆறுமுக","ஆறுமுக"
"ehtyUila","Legacy Font Encoding","நாவலருடைய","நாவலருடைய"
"vOj;J","Legacy Font Encoding","எழுத்து","எழுத்து"
"ty;ygk;","Legacy Font Encoding","வல்லபம்","வல்லபம்"
"KOtijAk;","Legacy Font Encoding","முழுவதையும்","முழுவதையும்"
"ghh;g;gjw;F","Legacy Font Encoding","பார்ப்பதற்கு","பார்ப்பதற்கு"
"cjTk;","Legacy Font Encoding","உதவும்","உதவும்"
"E}y;","Legacy Font Encoding","நூல்","நூல்"
"'gpuge;jj;","Legacy Font Encoding","'பிரபந்தத்","'பிரபந்தத்"
"jpul;L'.","Legacy Font Encoding","திரட்டு'.","திரட்டு'."
"mjpNy","Legacy Font Encoding","அதிலே","அதிலே"
"mth;","Legacy Font Encoding","அவர்","அவர்"
"'rghR'","Legacy Font Encoding","'சபாசு'","'சபாசு'"
"vd;w","Legacy Font Encoding","என்ற","என்ற"
"nrhy;iy","Legacy Font Encoding","சொல்லை","சொல்லை"
"vt;tsT","Legacy Font Encoding","எவ்வளவு","எவ்வளவு"
"fhk;gPukhfg;","Legacy Font Encoding","காம்பீரமாகப்","காம்பீரமாகப்"
"gapy;fpwhh;.","Legacy Font Encoding","பயில்கிறார்.","பயில்கிறார்."
"rpj;jpuKk;","Legacy Font Encoding","சித்திரமும்","சித்திரமும்"
"ifg;gof;fk;","Legacy Font Encoding","கைப்பழக்கம்","கைப்பழக்கம்"
"vd;gJNghy","Legacy Font Encoding","என்பதுபோல","என்பதுபோல"
"nkhop","Legacy Font Encoding","மொழி","மொழி"
"eilf;Fg;","Legacy Font Encoding","நடைக்குப்","நடைக்குப்"
"gapw;rp","Legacy Font Encoding","பயிற்சி","பயிற்சி"
"Njit.","Legacy Font Encoding","தேவை.","தேவை."
"ehtyh;","Legacy Font Encoding","நாவலர்","நாவலர்"
"gpuge;jj;","Legacy Font Encoding","பிரபந்தத்","பிரபந்தத்"
"jpul;bNy","Legacy Font Encoding","திரட்டிலே","திரட்டிலே"
"fhurhukhd","Legacy Font Encoding","காரசாரமான","காரசாரமான"
"gy","Legacy Font Encoding","பல","பல"
"fz;ldq;fs;","Legacy Font Encoding","கண்டனங்கள்","கண்டனங்கள்"
"vOjpAs;shh;.","Legacy Font Encoding","எழுதியுள்ளார்.","எழுதியுள்ளார்."
"mth;","Legacy Font Encoding","அவர்","அவர்"
"mjpfkhfr;","Legacy Font Encoding","அதிகமாகச்","அதிகமாகச்"
"rhbaJ","Legacy Font Encoding","சாடியது","சாடியது"
"mwpahikia.","Legacy Font Encoding","அறியாமையை.","அறியாமையை."
"cz;ikapd;","Legacy Font Encoding","உண்மையின்","உண்மையின்"
"cghrfd;","Legacy Font Encoding","உபாசகன்","உபாசகன்"
"xUtd;","Legacy Font Encoding","ஒருவன்","ஒருவன்"
"mwpahikiaf;","Legacy Font Encoding","அறியாமையைக்","அறியாமையைக்"
"fhZk;","Legacy Font Encoding","காணும்","காணும்"
"nghOJ","Legacy Font Encoding","பொழுது","பொழுது"
"NfhghNtrg;","Legacy Font Encoding","கோபாவேசப்","கோபாவேசப்"
"gLthd;.","Legacy Font Encoding","படுவான்.","படுவான்."
"me;jf;","Legacy Font Encoding","அந்தக்","அந்தக்"
"Nfhgk;","Legacy Font Encoding","கோபம்","கோபம்"
">d;wsTk;","Legacy Font Encoding","இன்றளவும்","இன்றளவும்"
"vd;","Legacy Font Encoding","என்","என்"
"Copaj;jpw;F","Legacy Font Encoding","ஊழியத்திற்கு","ஊழியத்திற்கு"
"Xh;","Legacy Font Encoding","ஓர்","ஓர்"
"mHj;jk;","Legacy Font Encoding","அர்த்தம்","அர்த்தம்"
"je;Jnfhz;bUg;gjhf","Legacy Font Encoding","தந்துகொண்டிருப்பதாக","தந்துகொண்டிருப்பதாக"
"ehd;","Legacy Font Encoding","நான்","நான்"
"epidf;fpNwd;.","Legacy Font Encoding","நினைக்கிறேன்.","நினைக்கிறேன்."
"Nfhgj;ij","Legacy Font Encoding","கோபத்தை","கோபத்தை"
"gpwh;","Legacy Font Encoding","பிறர்","பிறர்"
"kdJ","Legacy Font Encoding","மனது","மனது"
"NehfhJ","Legacy Font Encoding","நோகாது","நோகாது"
"ntspg;gLj;Jtjw;F","Legacy Font Encoding","வெளிப்படுத்துவதற்கு","வெளிப்படுத்துவதற்கு"
"eifr;","Legacy Font Encoding","நகைச்","நகைச்"
"Rit","en","Rit","சுவை"
"cjTfpwJ","Legacy Font Encoding","உதவுகிறது","உதவுகிறது"
"vd","Legacy Font Encoding","என","என"
"ehd;","Legacy Font Encoding","நான்","நான்"
"ek;GfpNwd;.","Legacy Font Encoding","நம்புகிறேன்.","நம்புகிறேன்."
"jp.Qh.","Legacy Font Encoding","தி.ஞா.","தி.ஞா."
":-","Legacy Font Encoding",":-",":-"
"jhq;fs;","Legacy Font Encoding","தாங்கள்","தாங்கள்"
"ew;Nghf;F","Legacy Font Encoding","நற்போக்கு","நற்போக்கு"
">yf;fpak;","Legacy Font Encoding","இலக்கியம்","இலக்கியம்"
"vd;w","Legacy Font Encoding","என்ற","என்ற"
"Nfhl;ghl;il","Legacy Font Encoding","கோட்பாட்டை","கோட்பாட்டை"
"Kw;Nghf;F","Legacy Font Encoding","முற்போக்கு","முற்போக்கு"
">yf;fpaj;jpw;F","Legacy Font Encoding","இலக்கியத்திற்கு","இலக்கியத்திற்கு"
"vjpuhf","Legacy Font Encoding","எதிராக","எதிராக"
"Kd;itj;jPh;fs;.","Legacy Font Encoding","முன்வைத்தீர்கள்.","முன்வைத்தீர்கள்."
"ew;Nghf;F","Legacy Font Encoding","நற்போக்கு","நற்போக்கு"
">yf;fpaf;","Legacy Font Encoding","இலக்கியக்","இலக்கியக்"
"Nfhl;ghl;il","Legacy Font Encoding","கோட்பாட்டை","கோட்பாட்டை"
">d;iwa","Legacy Font Encoding","இன்றைய","இன்றைய"
"thrfh;","Legacy Font Encoding","வாசகர்","வாசகர்"
"fSf;F","Legacy Font Encoding","களுக்கு","களுக்கு"
"tpsf;Fq;fs;.","Legacy Font Encoding","விளக்குங்கள்.","விளக்குங்கள்."
"v];.ngh","Legacy Font Encoding","எஸ்.பொ","எஸ்.பொ"
":-","Legacy Font Encoding",":-",":-"
"Kw;Nghf;F","Legacy Font Encoding","முற்போக்கு","முற்போக்கு"
">yf;fpaj;Jf;F","Legacy Font Encoding","இலக்கியத்துக்கு","இலக்கியத்துக்கு"
"vjpuhd","Legacy Font Encoding","எதிரான","எதிரான"
"Nfhl;ghL","Legacy Font Encoding","கோட்பாடு","கோட்பாடு"
"my;y","Legacy Font Encoding","அல்ல","அல்ல"
"ew;Nghf;F.","Legacy Font Encoding","நற்போக்கு.","நற்போக்கு."
"ejpfs;","Legacy Font Encoding","நதிகள்","நதிகள்"
"gpd;Ndhf;fpg;","Legacy Font Encoding","பின்னோக்கிப்","பின்னோக்கிப்"
"gha;tjpy;iy.","Legacy Font Encoding","பாய்வதில்லை.","பாய்வதில்லை."
"kdpj","Legacy Font Encoding","மனித","மனித"
"mwpTk;","Legacy Font Encoding","அறிவும்","அறிவும்"
"ehfhpfKk;","Legacy Font Encoding","நாகரிகமும்","நாகரிகமும்"
"kdpjNea","Legacy Font Encoding","மனிதநேய","மனிதநேய"
"mf;fiwfSk;","Legacy Font Encoding","அக்கறைகளும்","அக்கறைகளும்"
"Kd;Ndhf;fp","Legacy Font Encoding","முன்னோக்கி","முன்னோக்கி"
"efh;td.","Legacy Font Encoding","நகர்வன.","நகர்வன."
"vdNt","Legacy Font Encoding","எனவே","எனவே"
">af;f","Legacy Font Encoding","இயக்க","இயக்க"
">aypy;","Legacy Font Encoding","இயலில்","இயலில்"
"Kw;Nghf;F","Legacy Font Encoding","முற்போக்கு","முற்போக்கு"
"kfh","Legacy Font Encoding","மகா","மகா"
"epahakhdJ.","Legacy Font Encoding","நியாயமானது.","நியாயமானது."
"Mdhy;","Legacy Font Encoding","ஆனால்","ஆனால்"
"Kw;Nghf;F","Legacy Font Encoding","முற்போக்கு","முற்போக்கு"
">yf;fpak;","Legacy Font Encoding","இலக்கியம்","இலக்கியம்"
"vd;W","Legacy Font Encoding","என்று","என்று"
"nrhd;dth;fs;","Legacy Font Encoding","சொன்னவர்கள்","சொன்னவர்கள்"
"ghij","Legacy Font Encoding","பாதை","பாதை"
"jtwp","Legacy Font Encoding","தவறி","தவறி"
"fl;rp","Legacy Font Encoding","கட்சி","கட்சி"
"Nkd;ikia","Legacy Font Encoding","மேன்மையை","மேன்மையை"
"typAWj;jp","Legacy Font Encoding","வலியுறுத்தி","வலியுறுத்தி"
"cz;ik","Legacy Font Encoding","உண்மை","உண்மை"
">d;Dk;","Legacy Font Encoding","இன்னும்","இன்னும்"
"mtSf;Ff;","Legacy Font Encoding","அவளுக்குக்","அவளுக்குக்"
"fypahzk;","Legacy Font Encoding","கலியாணம்","கலியாணம்"
"Mftpy;iy.","Legacy Font Encoding","ஆகவில்லை.","ஆகவில்லை."
"ey;y","Legacy Font Encoding","நல்ல","நல்ல"
"tudhfg;","Legacy Font Encoding","வரனாகப்","வரனாகப்"
"ghh;f;f","Legacy Font Encoding","பார்க்க","பார்க்க"
"Ntz;Lk;.","Legacy Font Encoding","வேண்டும்.","வேண்டும்."
"fypahzr;","Legacy Font Encoding","கலியாணச்","கலியாணச்"
"nryTfs;","Legacy Font Encoding","செலவுகள்","செலவுகள்"
"$l","Legacy Font Encoding","$ட","$ட"
"mjpfkhfj;","Legacy Font Encoding","அதிகமாகத்","அதிகமாகத்"
"Njitg;gLk;.","Legacy Font Encoding","தேவைப்படும்.","தேவைப்படும்."
"mtw;iwf;","Legacy Font Encoding","அவற்றைக்","அவற்றைக்"
"$lj;","Legacy Font Encoding","$டத்","$டத்"
"jtiz","Legacy Font Encoding","தவணை","தவணை"
"KiwapNyjhd;","Legacy Font Encoding","முறையிலேதான்","முறையிலேதான்"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"Mrphpauhy;","Legacy Font Encoding","ஆசிரியரால்","ஆசிரியரால்"
"epiwNtw;w","Legacy Font Encoding","நிறைவேற்ற","நிறைவேற்ற"
"Kaw;rpf;fyhk;","Legacy Font Encoding","முயற்சிக்கலாம்","முயற்சிக்கலாம்"
"vd;why;,","Legacy Font Encoding","என்றால்இ","என்றால்இ"
"mJ","Legacy Font Encoding","அது","அது"
"$l","Legacy Font Encoding","$ட","$ட"
">tshy;","Legacy Font Encoding","இவளால்","இவளால்"
"Kbe;j","Legacy Font Encoding","முடிந்த","முடிந்த"
"fhhpakhO","Legacy Font Encoding","காரியமாழு","காரியமாழு"
">g;gbg;gl;lnjhU","Legacy Font Encoding","இப்படிப்பட்டதொரு","இப்படிப்பட்டதொரு"
"FLk;gg;","Legacy Font Encoding","குடும்பப்","குடும்பப்"
"ghuj;Jf;;F","Legacy Font Encoding","பாரத்துக்;கு","பாரத்துக்;கு"
"kj;jpapy;","Legacy Font Encoding","மத்தியில்","மத்தியில்"
"fypahzk;","Legacy Font Encoding","கலியாணம்","கலியாணம்"
"gps;is","Legacy Font Encoding","பிள்ளை","பிள்ளை"
"Fl;bfs;","Legacy Font Encoding","குட்டிகள்","குட்டிகள்"
"vd;gJ","Legacy Font Encoding","என்பது","என்பது"
">tSf;nfhU","Legacy Font Encoding","இவளுக்கொரு","இவளுக்கொரு"
"fdthf","Legacy Font Encoding","கனவாக","கனவாக"
"kl;Lk;jhd;","Legacy Font Encoding","மட்டும்தான்","மட்டும்தான்"
"Njhd;wyhNk","Legacy Font Encoding","தோன்றலாமே","தோன்றலாமே"
"jtpu","Legacy Font Encoding","தவிர","தவிர"
"ep[khf;fpj;","Legacy Font Encoding","நி[மாக்கித்","நி[மாக்கித்"
"ju","Legacy Font Encoding","தர","தர"
"ahh;jhd;","Legacy Font Encoding","யார்தான்","யார்தான்"
">Uf;fpwhh;fs;O","Legacy Font Encoding","இருக்கிறார்கள்ழு","இருக்கிறார்கள்ழு"
"kW","Legacy Font Encoding","மறு","மறு"
"ehs;........","Legacy Font Encoding","நாள்........","நாள்........"
"fhiy","Legacy Font Encoding","காலை","காலை"
"fz;","Legacy Font Encoding","கண்","கண்"
"tpopj;jts;","Legacy Font Encoding","விழித்தவள்","விழித்தவள்"
"mtru","Legacy Font Encoding","அவசர","அவசர"
"mtrukhfg;","Legacy Font Encoding","அவசரமாகப்","அவசரமாகப்"
"Gwg;gl;","Legacy Font Encoding","புறப்பட்","புறப்பட்"
"lhs;.","Legacy Font Encoding","டாள்.","டாள்."
"me;j","Legacy Font Encoding","அந்த","அந்த"
"mtruj;Jf;F","Legacy Font Encoding","அவசரத்துக்கு","அவசரத்துக்கு"
"<L","Legacy Font Encoding","ஈடு","ஈடு"
"nfhLf;f","Legacy Font Encoding","கொடுக்க","கொடுக்க"
"Kbahj","Legacy Font Encoding","முடியாத","முடியாத"
"mtsJ","Legacy Font Encoding","அவளது","அவளது"
"'gpsTrp'd;","Legacy Font Encoding","'பிளவுசி'ன்","'பிளவுசி'ன்"
"KJFg;Gw","Legacy Font Encoding","முதுகுப்புற","முதுகுப்புற"
"if%l;L","Legacy Font Encoding","கைமூட்டு","கைமூட்டு"
"rWf;nfd;W","Legacy Font Encoding","சறுக்கென்று","சறுக்கென்று"
"jd;id","Legacy Font Encoding","தன்னை","தன்னை"
"tpyf;fpf;","Legacy Font Encoding","விலக்கிக்","விலக்கிக்"
"nfhz;lJ.","Legacy Font Encoding","கொண்டது.","கொண்டது."
"me;jr;","Legacy Font Encoding","அந்தச்","அந்தச்"
"rl;il","Legacy Font Encoding","சட்டை","சட்டை"
">Wfpg;Ngha;","Legacy Font Encoding","இறுகிப்போய்","இறுகிப்போய்"
">d;NwhL","Legacy Font Encoding","இன்றோடு","இன்றோடு"
"khjq;fshfp","Legacy Font Encoding","மாதங்களாகி","மாதங்களாகி"
"tpl;lJ.","Legacy Font Encoding","விட்டது.","விட்டது."
"Mdhy;","Legacy Font Encoding","ஆனால்","ஆனால்"
"mtshy;","Legacy Font Encoding","அவளால்","அவளால்"
"me;jf;","Legacy Font Encoding","அந்தக்","அந்தக்"
"Fiwiaf;$l","Legacy Font Encoding","குறையைக்$ட","குறையைக்$ட"
"FLk;g","Legacy Font Encoding","குடும்ப","குடும்ப"
"epiyikahy;","Legacy Font Encoding","நிலைமையால்","நிலைமையால்"
"<L","Legacy Font Encoding","ஈடு","ஈடு"
"nra;a","Legacy Font Encoding","செய்ய","செய்ய"
"Kbatpy;iy.","Legacy Font Encoding","முடியவில்லை.","முடியவில்லை."
">e;j","Legacy Font Encoding","இந்த","இந்த"
"epiyikapy;","Legacy Font Encoding","நிலைமையில்","நிலைமையில்"
"me;j","Legacy Font Encoding","அந்த","அந்த"
">e;j","Legacy Font Encoding","இந்த","இந்த"
"epjpfs;","Legacy Font Encoding","நிதிகள்","நிதிகள்"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"Gwkhfr;","Legacy Font Encoding","புறமாகச்","புறமாகச்"
"rk;gsj;jpypUe;J","Legacy Font Encoding","சம்பளத்திலிருந்து","சம்பளத்திலிருந்து"
"khjhe;jk;","Legacy Font Encoding","மாதாந்தம்","மாதாந்தம்"
"murhq;fKk;","Legacy Font Encoding","அரசாங்கமும்","அரசாங்கமும்"
"$lNt","Legacy Font Encoding","$டவே","$டவே"
"mjpgUk;","Legacy Font Encoding","அதிபரும்","அதிபரும்"
"mwtpLtJ","Legacy Font Encoding","அறவிடுவது","அறவிடுவது"
"NtW","Legacy Font Encoding","வேறு","வேறு"
"xU","Legacy Font Encoding","ஒரு","ஒரு"
"tapw;nwhpr;ryhd","Legacy Font Encoding","வயிற்றெரிச்சலான","வயிற்றெரிச்சலான"
"fhhpakhfj;","Legacy Font Encoding","காரியமாகத்","காரியமாகத்"
"njhpe;jJ.","Legacy Font Encoding","தெரிந்தது.","தெரிந்தது."
"ghtk;","Legacy Font Encoding","பாவம்","பாவம்"
"mtshy;","Legacy Font Encoding","அவளால்","அவளால்"
"vd;djhd;","Legacy Font Encoding","என்னதான்","என்னதான்"
"nra;a","Legacy Font Encoding","செய்ய","செய்ய"
"KbAk;.","Legacy Font Encoding","முடியும்.","முடியும்."
"Nriyia","Legacy Font Encoding","சேலையை","சேலையை"
"vLj;J","Legacy Font Encoding","எடுத்து","எடுத்து"
"KJif","Legacy Font Encoding","முதுகை","முதுகை"
"%batshfg;","Legacy Font Encoding","மூடியவளாகப்","மூடியவளாகப்"
"Gwg;gl;lts;,","Legacy Font Encoding","புறப்பட்டவள்இ","புறப்பட்டவள்இ"
"me;jr;","Legacy Font Encoding","அந்தச்","அந்தச்"
"rptg;Gf;","Legacy Font Encoding","சிவப்புக்","சிவப்புக்"
"fbjj;ijAk;","Legacy Font Encoding","கடிதத்தையும்","கடிதத்தையும்"
"kwf;fhky;","Legacy Font Encoding","மறக்காமல்","மறக்காமல்"
