"inputWord","inputType","output","actualOutput"
"Nfhbl;Lf;fhl;l","Legacy Font Encoding","கோடிட்டுக்காட்ட","கோடிட்டுக்காட்ட"
"""fkyk;...","Legacy Font Encoding","""கமலம்...","""கமலம்..."
"fkyk;""","Legacy Font Encoding","கமலம்""","கமலம்"""
"td;dptdj;jpy;","Legacy Font Encoding","வன்னிவனத்தில்","வன்னிவனத்தில்"
"vd;","Legacy Font Encoding","என்","என்"
"id","en","id","னை"
"kzk;","Legacy Font Encoding","மணம்","மணம்"
"Kbj;j","Legacy Font Encoding","முடித்த","முடித்த"
"xNunahU","Legacy Font Encoding","ஒரேயொரு","ஒரேயொரு"
"fhuzj;","Legacy Font Encoding","காரணத்","காரணத்"
"jpw;fha;","Legacy Font Encoding","திற்காய்","திற்காய்"
"rPijaha;","Legacy Font Encoding","சீதையாய்","சீதையாய்"
">d;dw;gLk;","Legacy Font Encoding","இன்னற்படும்","இன்னற்படும்"
"vd;","Legacy Font Encoding","என்","என்"
"gj;","Legacy Font Encoding","பத்","பத்"
"jpdpia","Legacy Font Encoding","தினியை","தினியை"
"miof;fpd;Nwd;.","Legacy Font Encoding","அழைக்கின்றேன்.","அழைக்கின்றேன்."
"fz;zPh;","Legacy Font Encoding","கண்ணீர்","கண்ணீர்"
"kz;jiuia","Legacy Font Encoding","மண்தரையை","மண்தரையை"
"<ukhf;fpagb","Legacy Font Encoding","ஈரமாக்கியபடி","ஈரமாக்கியபடி"
"Rthpd;","Legacy Font Encoding","சுவரின்","சுவரின்"
"%iyapNy","Legacy Font Encoding","மூலையிலே","மூலையிலே"
"Fe;jpapUe;j","Legacy Font Encoding","குந்தியிருந்த","குந்தியிருந்த"
"fkyk;","Legacy Font Encoding","கமலம்","கமலம்"
"jd;","Legacy Font Encoding","தன்","தன்"
">ayhikiaf;","Legacy Font Encoding","இயலாமையைக்","இயலாமையைக்"
"fz;zPhpy;","Legacy Font Encoding","கண்ணீரில்","கண்ணீரில்"
"ntspf;","Legacy Font Encoding","வெளிக்","வெளிக்"
"fhl;bagb.....","Legacy Font Encoding","காட்டியபடி.....","காட்டியபடி....."
"neQ;ir","Legacy Font Encoding","நெஞ்சை","நெஞ்சை"
"cYf;fpa","Legacy Font Encoding","உலுக்கிய","உலுக்கிய"
"me;jf;","Legacy Font Encoding","அந்தக்","அந்தக்"
"Nfhurk;gtk;","Legacy Font Encoding","கோரசம்பவம்","கோரசம்பவம்"
"vd;","Legacy Font Encoding","என்","என்"
"fz;","Legacy Font Encoding","கண்","கண்"
"Kd;Nd","Legacy Font Encoding","முன்னே","முன்னே"
"epoyhLfpd;wJ.","Legacy Font Encoding","நிழலாடுகின்றது.","நிழலாடுகின்றது."
"""mg;gh","Legacy Font Encoding","""அப்பா","""அப்பா"
">z;ilf;F","Legacy Font Encoding","இண்டைக்கு","இண்டைக்கு"
"vdf;F","Legacy Font Encoding","எனக்கு","எனக்கு"
"tpisahl;Lg;Nghl;b""vd;","Legacy Font Encoding","விளையாட்டுப்போட்டி""என்","விளையாட்டுப்போட்டி""என்"
"fd;dq;","Legacy Font Encoding","கன்னங்","கன்னங்"
"fis","Romanized Text Encoding","பிஸ்","களை"
"Kj;jkioahy;","Legacy Font Encoding","முத்தமழையால்","முத்தமழையால்"
"eidj;j","Legacy Font Encoding","நனைத்த","நனைத்த"
"vd;","Legacy Font Encoding","என்","என்"
"jtg;Gjy;tidj;","Legacy Font Encoding","தவப்புதல்வனைத்","தவப்புதல்வனைத்"
"J}f;fpnaLj;J","Legacy Font Encoding","தூக்கியெடுத்து","தூக்கியெடுத்து"
"cr;rpNkhh;fpd;Nwd;.","Legacy Font Encoding","உச்சிமோர்கின்றேன்.","உச்சிமோர்கின்றேன்."
"""nry;yk;","Legacy Font Encoding","""செல்லம்","""செல்லம்"
"ftdkh","Legacy Font Encoding","கவனமா","கவனமா"
"];$Yf;Fg;","Legacy Font Encoding","ஸ்$லுக்குப்","ஸ்$லுக்குப்"
"Nghapl;L","Legacy Font Encoding","போயிட்டு","போயிட்டு"
"KbQ;nrhlNd","Legacy Font Encoding","முடிஞ்சொடனே","முடிஞ்சொடனே"
"tPl;Lf;F","Legacy Font Encoding","வீட்டுக்கு","வீட்டுக்கு"
"te;jplDk;""","Legacy Font Encoding","வந்திடனும்""","வந்திடனும்"""
"mtid","Legacy Font Encoding","அவனை","அவனை"
"mDg;gptpl;L","Legacy Font Encoding","அனுப்பிவிட்டு","அனுப்பிவிட்டு"
"vd;","Legacy Font Encoding","என்","என்"
"kspiff;","Legacy Font Encoding","மளிகைக்","மளிகைக்"
"filiaf;","Legacy Font Encoding","கடையைக்","கடையைக்"
"ftdpf;","Legacy Font Encoding","கவனிக்","கவனிக்"
"fpd;Nwd;.","Legacy Font Encoding","கின்றேன்.","கின்றேன்."
"'rutzh","Romanized Text Encoding","'ருத்ழ்","'சரவணா"
"];Nlhh;];'","Legacy Font Encoding","ஸ்டோர்ஸ்'","ஸ்டோர்ஸ்'"
"vd;","Legacy Font Encoding","என்","என்"
"filapd;","Legacy Font Encoding","கடையின்","கடையின்"
"Kfg;ig","Legacy Font Encoding","முகப்பை","முகப்பை"
"myq;fhpj;j","Legacy Font Encoding","அலங்கரித்த","அலங்கரித்த"
"mt;thrfq;","Legacy Font Encoding","அவ்வாசகங்","அவ்வாசகங்"
"fis","Romanized Text Encoding","பிஸ்","களை"
"aho;efhpy;","Legacy Font Encoding","யாழ்நகரில்","யாழ்நகரில்"
"mwpahNjhh;","Legacy Font Encoding","அறியாதோர்","அறியாதோர்"
"vtUkpy;iy.","Legacy Font Encoding","எவருமில்லை.","எவருமில்லை."
"Neuk;","Legacy Font Encoding","நேரம்","நேரம்"
"gd;dpuz;il","Legacy Font Encoding","பன்னிரண்டை","பன்னிரண்டை"
"vl;bapUf;Fk;","Legacy Font Encoding","எட்டியிருக்கும்","எட்டியிருக்கும்"
"""lkPh;""","Legacy Font Encoding","""டமீர்""","""டமீர்"""
"fhJfisr;","Legacy Font Encoding","காதுகளைச்","காதுகளைச்"
"nrtplhf;Fk;","Legacy Font Encoding","செவிடாக்கும்","செவிடாக்கும்"
"tz;zk;","Legacy Font Encoding","வண்ணம்","வண்ணம்"
"me;j","Legacy Font Encoding","அந்த","அந்த"
"'nghk;","Legacy Font Encoding","'பொம்","'பொம்"
"khpd;'","Legacy Font Encoding","மரின்'","மரின்'"
"Fz;Lfs;","Legacy Font Encoding","குண்டுகள்","குண்டுகள்"
"tPo;e;J","Legacy Font Encoding","வீழ்ந்து","வீழ்ந்து"
"ntbf;","Legacy Font Encoding","வெடிக்","வெடிக்"
"fpd;wd.","Legacy Font Encoding","கின்றன.","கின்றன."
"ehd;","Legacy Font Encoding","நான்","நான்"
"vd;","Legacy Font Encoding","என்","என்"
"kidtpiaAk;","Legacy Font Encoding","மனைவியையும்","மனைவியையும்"
"kfisAk;","Legacy Font Encoding","மகளையும்","மகளையும்"
"mizj;j","Legacy Font Encoding","அணைத்த","அணைத்த"
"gb","Legacy Font Encoding","படி","படி"
"gq;fhpw;Fs;","Legacy Font Encoding","பங்கரிற்குள்","பங்கரிற்குள்"
"GF","Legacy Font Encoding","புகு","புகு"
"fpd;Nwd;.","Legacy Font Encoding","கின்றேன்.","கின்றேன்."
""">Q;Nr","Legacy Font Encoding","""இஞ்சே","""இஞ்சே"
"ug;gh","Legacy Font Encoding","ரப்பா","ரப்பா"
"];$y;","Legacy Font Encoding","ஸ்$ல்","ஸ்$ல்"
"gf;fk;","Legacy Font Encoding","பக்கம்","பக்கம்"
"jhd;","Legacy Font Encoding","தான்","தான்"
"rj;jk;","Legacy Font Encoding","சத்தம்","சத்தம்"
"Nff;FJ","Legacy Font Encoding","கேக்குது","கேக்குது"
"xUf;fhg;","Legacy Font Encoding","ஒருக்காப்","ஒருக்காப்"
"Ngha;g;","Legacy Font Encoding","போய்ப்","போய்ப்"
"ghh;j;jpl;L","Legacy Font Encoding","பார்த்திட்டு","பார்த்திட்டு"
"thq;Nfhtdg;gh""","Legacy Font Encoding","வாங்கோவனப்பா""","வாங்கோவனப்பா"""
"ngw;w","Legacy Font Encoding","பெற்ற","பெற்ற"
"cs;sj;jpd;","Legacy Font Encoding","உள்ளத்தின்","உள்ளத்தின்"
"gijgijg;ig","Legacy Font Encoding","பதைபதைப்பை","பதைபதைப்பை"
"czh;e;J","Legacy Font Encoding","உணர்ந்து","உணர்ந்து"
"vd;","Legacy Font Encoding","என்","என்"
"capiuAk;","Legacy Font Encoding","உயிரையும்","உயிரையும்"
"nghUl;","Legacy Font Encoding","பொருட்","பொருட்"
"gLj;jhky;","Legacy Font Encoding","படுத்தாமல்","படுத்தாமல்"
"tpiufpd;Nwd;.","Legacy Font Encoding","விரைகின்றேன்.","விரைகின்றேன்."
"ghlrhiyia","Legacy Font Encoding","பாடசாலையை","பாடசாலையை"
"milaKd;dNk","Legacy Font Encoding","அடையமுன்னமே","அடையமுன்னமே"
"vd;","Legacy Font Encoding","என்","என்"
"kdj;jpd;","Legacy Font Encoding","மனத்தின்","மனத்தின்"
"gijgijg;ig","Legacy Font Encoding","பதைபதைப்பை","பதைபதைப்பை"
"cWjp","Legacy Font Encoding","உறுதி","உறுதி"
"nra;Ak;gb","Legacy Font Encoding","செய்யும்படி","செய்யும்படி"
"vOe;j","Legacy Font Encoding","எழுந்த","எழுந்த"
"Xyq;fs;","Legacy Font Encoding","ஓலங்கள்","ஓலங்கள்"
"neQ;rpy;","Legacy Font Encoding","நெஞ்சில்","நெஞ்சில்"
"vQ;rpapUe;j","Legacy Font Encoding","எஞ்சியிருந்த","எஞ்சியிருந்த"
"ituhf;fpaj;","Legacy Font Encoding","வைராக்கியத்","வைராக்கியத்"
"ijAk;","Legacy Font Encoding","தையும்","தையும்"
"cwpQ;rptpl..........","Legacy Font Encoding","உறிஞ்சிவிட..........","உறிஞ்சிவிட.........."
"ghlrhiy","Legacy Font Encoding","பாடசாலை","பாடசாலை"
"ikjhdk;","Legacy Font Encoding","மைதானம்","மைதானம்"
"khzth;fspd;","Legacy Font Encoding","மாணவர்களின்","மாணவர்களின்"
"capuw;wJk;","Legacy Font Encoding","உயிரற்றதும்","உயிரற்றதும்"
"Fw;W","Legacy Font Encoding","குற்று","குற்று"
"apUkhd","Legacy Font Encoding","யிருமான","யிருமான"
"cly;fisr;","Legacy Font Encoding","உடல்களைச்","உடல்களைச்"
"Rke;J","Legacy Font Encoding","சுமந்து","சுமந்து"
"nfhz;L","Legacy Font Encoding","கொண்டு","கொண்டு"
"FUN\j;jpu","Legacy Font Encoding","குருஷேத்திர","குருஷேத்திர"
"Nghh;f;fsj;","Legacy Font Encoding","போர்க்களத்","போர்க்களத்"
"ijAk;","Legacy Font Encoding","தையும்","தையும்"
"tpQ;rpepd;wJ.","Legacy Font Encoding","விஞ்சிநின்றது.","விஞ்சிநின்றது."
"mq;Nf..","Legacy Font Encoding","அங்கே..","அங்கே.."
"mq;Nf...","Legacy Font Encoding","அங்கே...","அங்கே..."
"vd;","Legacy Font Encoding","என்","என்"
"kfd;","Legacy Font Encoding","மகன்","மகன்"
">uj;jnts;sj;","Legacy Font Encoding","இரத்தவெள்ளத்","இரத்தவெள்ளத்"
"jpy;.....","Legacy Font Encoding","தில்.....","தில்....."
"Fw;Wapuha;......","Legacy Font Encoding","குற்றுயிராய்......","குற்றுயிராய்......"
"ms;sp","Legacy Font Encoding","அள்ளி","அள்ளி"
"mizj;Jf;","Legacy Font Encoding","அணைத்துக்","அணைத்துக்"
"nfhz;L","Legacy Font Encoding","கொண்டு","கொண்டு"
"kUj;Jt","Legacy Font Encoding","மருத்துவ","மருத்துவ"
"rhiyf;F","Legacy Font Encoding","சாலைக்கு","சாலைக்கு"
"tpiufpd;Nwd;.","Legacy Font Encoding","விரைகின்றேன்.","விரைகின்றேன்."
"tplaj;","Legacy Font Encoding","விடயத்","விடயத்"
"ijf;","Legacy Font Encoding","தைக்","தைக்"
"Nfs;tpAw;w","Legacy Font Encoding","கேள்வியுற்ற","கேள்வியுற்ற"
"kidtp","Legacy Font Encoding","மனைவி","மனைவி"
"fjw","Legacy Font Encoding","கதற","கதற"
"Yld;","Legacy Font Encoding","லுடன்","லுடன்"
"Xbte;J","Legacy Font Encoding","ஓடிவந்து","ஓடிவந்து"
"vd;id","Legacy Font Encoding","என்னை","என்னை"
"mizj;Jf;","Legacy Font Encoding","அணைத்துக்","அணைத்துக்"
"nfhs;s......","Legacy Font Encoding","கொள்ள......","கொள்ள......"
"vj;jid","Legacy Font Encoding","எத்தனை","எத்தனை"
"ngw;Nwhh;fs;","Legacy Font Encoding","பெற்றோர்கள்","பெற்றோர்கள்"
"jq;fs;","Legacy Font Encoding","தங்கள்","தங்கள்"
"vjph;ghh;g;Gfs;,","Legacy Font Encoding","எதிர்பார்ப்புகள்இ","எதிர்பார்ப்புகள்இ"
"vjph;","Legacy Font Encoding","எதிர்","எதிர்"
"fhyq;fs;","Legacy Font Encoding","காலங்கள்","காலங்கள்"
"tPzbf;fg;gl;Ltpl;ld","Legacy Font Encoding","வீணடிக்கப்பட்டுவிட்டன","வீணடிக்கப்பட்டுவிட்டன"
"vd;w","Legacy Font Encoding","என்ற","என்ற"
"Mw;whikapy;......","Legacy Font Encoding","ஆற்றாமையில்......","ஆற்றாமையில்......"
"Ntjid","Legacy Font Encoding","வேதனை","வேதனை"
"apy;....","Legacy Font Encoding","யில்....","யில்...."
"fy;iyAk;","Legacy Font Encoding","கல்லையும்","கல்லையும்"
"fjwitf;Fk;","Legacy Font Encoding","கதறவைக்கும்","கதறவைக்கும்"
"fjwy;fSld;","Legacy Font Encoding","கதறல்களுடன்","கதறல்களுடன்"
"me;j","Legacy Font Encoding","அந்த","அந்த"
"kUj;Jtkid","Legacy Font Encoding","மருத்துவமனை","மருத்துவமனை"
"apy;.","Legacy Font Encoding","யில்.","யில்."
"rhtpj;jphpapd;","Legacy Font Encoding","சாவித்திரியின்","சாவித்திரியின்"
"fjwypw;Ff;","Legacy Font Encoding","கதறலிற்குக்","கதறலிற்குக்"
"fz;jpwe;j","Legacy Font Encoding","கண்திறந்த","கண்திறந்த"
">akd;","Legacy Font Encoding","இயமன்","இயமன்"
"vd;","Legacy Font Encoding","என்","என்"
"kidtpia","Legacy Font Encoding","மனைவியை","மனைவியை"
"Vkhw;wptpl;lhd;.","Legacy Font Encoding","ஏமாற்றிவிட்டான்.","ஏமாற்றிவிட்டான்."
"kUj;Jth;fs;","Legacy Font Encoding","மருத்துவர்கள்","மருத்துவர்கள்"
"ifia","Legacy Font Encoding","கையை","கையை"
"tphpj;jgb","Legacy Font Encoding","விரித்தபடி","விரித்தபடி"
"mfy.","Legacy Font Encoding","அகல.","அகல."
"""aho;g;ghzj;ij","Legacy Font Encoding","""யாழ்ப்பாணத்தை","""யாழ்ப்பாணத்தை"
"tpl;L","Legacy Font Encoding","விட்டு","விட்டு"
">Ugj;J","Legacy Font Encoding","இருபத்து","இருபத்து"
"ehd;F","Legacy Font Encoding","நான்கு","நான்கு"
"kzpj;jpahyq;","Legacy Font Encoding","மணித்தியாலங்","மணித்தியாலங்"
"fspy;","Legacy Font Encoding","களில்","களில்"
"kf;fs;","Legacy Font Encoding","மக்கள்","மக்கள்"
"ntspNaWk;gb","Legacy Font Encoding","வெளியேறும்படி","வெளியேறும்படி"
"Ntz;lg;gLfpwhh;fs;""","Legacy Font Encoding","வேண்டப்படுகிறார்கள்""","வேண்டப்படுகிறார்கள்"""
"vd;","Legacy Font Encoding","என்","என்"
"kidtpiaAk;,","Legacy Font Encoding","மனைவியையும்இ","மனைவியையும்இ"
"kfisAk;","Legacy Font Encoding","மகளையும்","மகளையும்"
"mizj;jgb","Legacy Font Encoding","அணைத்தபடி","அணைத்தபடி"
"ngl;b","Legacy Font Encoding","பெட்டி","பெட்டி"
"gLf;iffSld;","Legacy Font Encoding","படுக்கைகளுடன்","படுக்கைகளுடன்"
"tpiufpd;Nwd;.","Legacy Font Encoding","விரைகின்றேன்.","விரைகின்றேன்."
"md;igf;","Legacy Font Encoding","அன்பைக்","அன்பைக்"
"nfhl;b","Legacy Font Encoding","கொட்டி","கொட்டி"
"tsh;j;j","Legacy Font Encoding","வளர்த்த","வளர்த்த"
"kfd;","Legacy Font Encoding","மகன்","மகன்"
"mdhjuTg;","Legacy Font Encoding","அனாதரவுப்","அனாதரவுப்"
"gpzkha;","Legacy Font Encoding","பிணமாய்","பிணமாய்"
"itj;jpa","Legacy Font Encoding","வைத்திய","வைத்திய"
"rhiyapy;...","Legacy Font Encoding","சாலையில்...","சாலையில்..."
"vd;d","Legacy Font Encoding","என்ன","என்ன"
"nra;tJO","Legacy Font Encoding","செய்வதுழு","செய்வதுழு"
"vq;Nf","Legacy Font Encoding","எங்கே","எங்கே"
"nry;tJO","Legacy Font Encoding","செல்வதுழு","செல்வதுழு"
"td;dpia","Legacy Font Encoding","வன்னியை","வன்னியை"
"mile;J","Legacy Font Encoding","அடைந்து","அடைந்து"
"Ie;J","Legacy Font Encoding","ஐந்து","ஐந்து"
"tUlq;fshapw;W.","Legacy Font Encoding","வருடங்களாயிற்று.","வருடங்களாயிற்று."
"""mg;gh","Legacy Font Encoding","""அப்பா","""அப்பா"
"nlhf;flhpl;l","Legacy Font Encoding","டொக்கடரிட்ட","டொக்கடரிட்ட"
"NghfNtZk;","Legacy Font Encoding","போகவேணும்","போகவேணும்"
"mk;khTf;F","Legacy Font Encoding","அம்மாவுக்கு","அம்மாவுக்கு"
"fhr;ry;","Legacy Font Encoding","காச்சல்","காச்சல்"
"fhAjhk;""","Legacy Font Encoding","காயுதாம்""","காயுதாம்"""
"Mk;","Legacy Font Encoding","ஆம்","ஆம்"
"mJtiu","Legacy Font Encoding","அதுவரை","அதுவரை"
"me;j,","Legacy Font Encoding","அந்தஇ","அந்தஇ"
"Jauk;","Legacy Font Encoding","துயரம்","துயரம்"
"gbe;j","Legacy Font Encoding","படிந்த","படிந்த"
"epidTfspy;","Legacy Font Encoding","நினைவுகளில்","நினைவுகளில்"
"%o;fpg;","Legacy Font Encoding","மூழ்கிப்","மூழ்கிப்"
"NghapUe;j","Legacy Font Encoding","போயிருந்த","போயிருந்த"
"vd;id","Legacy Font Encoding","என்னை","என்னை"
"edTyfpw;F","Legacy Font Encoding","நனவுலகிற்கு","நனவுலகிற்கு"
">l;L","Legacy Font Encoding","இட்டு","இட்டு"
"te;j","Legacy Font Encoding","வந்த","வந்த"
"vd;","Legacy Font Encoding","என்","என்"
"kfspd;","Legacy Font Encoding","மகளின்","மகளின்"
"Ntz;L","Legacy Font Encoding","வேண்டு","வேண்டு"
"Nfhis","Legacy Font Encoding","கோளை","கோளை"
"Vw;W","Legacy Font Encoding","ஏற்று","ஏற்று"
"mtisAk;","Legacy Font Encoding","அவளையும்","அவளையும்"
"Vw;wpagb","Legacy Font Encoding","ஏற்றியபடி","ஏற்றியபடி"
"Jtpr;rf;fu","Legacy Font Encoding","துவிச்சக்கர","துவிச்சக்கர"
"tz;bia","Legacy Font Encoding","வண்டியை","வண்டியை"
"kpjpf;fpNwd;.","Legacy Font Encoding","மிதிக்கிறேன்.","மிதிக்கிறேன்."
"vd;","Legacy Font Encoding","என்","என்"
"rl;ilg;","Legacy Font Encoding","சட்டைப்","சட்டைப்"
"igapypUe;j","Legacy Font Encoding","பையிலிருந்த","பையிலிருந்த"
"E}W","Legacy Font Encoding","நூறு","நூறு"
"&gh","Legacy Font Encoding","ரூபா","ரூபா"
"ehis","Legacy Font Encoding","நாளை","நாளை"
"$yp","Legacy Font Encoding","$லி","$லி"
"Ntiyf;F","Legacy Font Encoding","வேலைக்கு","வேலைக்கு"
"vq;fhtJ","Legacy Font Encoding","எங்காவது","எங்காவது"
"Nghahf","Legacy Font Encoding","போயாக","போயாக"
"Ntz;Lk;","Legacy Font Encoding","வேண்டும்","வேண்டும்"
"vdw","Legacy Font Encoding","எனற","எனற"
"eph;g;ge;","Legacy Font Encoding","நிர்ப்பந்","நிர்ப்பந்"
"jj;ij","Legacy Font Encoding","தத்தை","தத்தை"
"mspj;jJ.","Legacy Font Encoding","அளித்தது.","அளித்தது."
"kUe;ijAk;","Legacy Font Encoding","மருந்தையும்","மருந்தையும்"
"kjpa","Legacy Font Encoding","மதிய","மதிய"
"czitAk;","Legacy Font Encoding","உணவையும்","உணவையும்"
"filapy;","Legacy Font Encoding","கடையில்","கடையில்"
"Ntz;b","Legacy Font Encoding","வேண்டி","வேண்டி"
"tpl;Lg;","Legacy Font Encoding","விட்டுப்","விட்டுப்"
"gf;fkhf","Legacy Font Encoding","பக்கமாக","பக்கமாக"
"fUk;Gif","Legacy Font Encoding","கரும்புகை","கரும்புகை"
"thidj;","Legacy Font Encoding","வானைத்","வானைத்"
"njhl;Lepw;fpd;wJ.","Legacy Font Encoding","தொட்டுநிற்கின்றது.","தொட்டுநிற்கின்றது."
"rw;W","Legacy Font Encoding","சற்று","சற்று"
"Kd;dhy;","Legacy Font Encoding","முன்னால்","முன்னால்"
"Nfl;l","Legacy Font Encoding","கேட்ட","கேட்ட"
"ntbr;rj;jj;ij","Legacy Font Encoding","வெடிச்சத்தத்தை","வெடிச்சத்தத்தை"
"mrl;il","Legacy Font Encoding","அசட்டை","அசட்டை"
"nra;j","Legacy Font Encoding","செய்த","செய்த"
"vdf;F","Legacy Font Encoding","எனக்கு","எனக்கு"
"cs;kdk;","Legacy Font Encoding","உள்மனம்","உள்மனம்"
"VNjh","Legacy Font Encoding","ஏதோ","ஏதோ"
"tpghPjk;","Legacy Font Encoding","விபரீதம்","விபரீதம்"
"epfo;e;jij","Legacy Font Encoding","நிகழ்ந்ததை","நிகழ்ந்ததை"
"czh;j;jpaJ.","Legacy Font Encoding","உணர்த்தியது.","உணர்த்தியது."
"""mg;gh","Legacy Font Encoding","""அப்பா","""அப்பா"
"ey;y","Legacy Font Encoding","நல்ல","நல்ல"
"tbthg;Gif","Legacy Font Encoding","வடிவாப்புகை","வடிவாப்புகை"
"tUJ","Legacy Font Encoding","வருது","வருது"
"vd;d""","Legacy Font Encoding","என்ன""","என்ன"""
"gofpg;Nghd","Legacy Font Encoding","பழகிப்போன","பழகிப்போன"
"mdh;j;jq;fis","Legacy Font Encoding","அனர்த்தங்களை","அனர்த்தங்களை"
"czuKbahj","Legacy Font Encoding","உணரமுடியாத","உணரமுடியாத"
"ghyfpapd;","Legacy Font Encoding","பாலகியின்","பாலகியின்"
"thh;j;ij","Legacy Font Encoding","வார்த்தை","வார்த்தை"
"fis","Romanized Text Encoding","பிஸ்","களை"
"nrtpkLj;jgb","Legacy Font Encoding","செவிமடுத்தபடி","செவிமடுத்தபடி"
"tpiuthf","Legacy Font Encoding","விரைவாக","விரைவாக"
"vd;","Legacy Font Encoding","என்","என்"
"Jtpr;rf;fu","Legacy Font Encoding","துவிச்சக்கர","துவிச்சக்கர"
"tz;bapd;","Legacy Font Encoding","வண்டியின்","வண்டியின்"
"ngly;fis","Legacy Font Encoding","பெடல்களை","பெடல்களை"
"kpjpf;fpd;Nwd;.","Legacy Font Encoding","மிதிக்கின்றேன்.","மிதிக்கின்றேன்."
"""INah","Legacy Font Encoding","""ஐயோ","""ஐயோ"
"fkyk;","Legacy Font Encoding","கமலம்","கமலம்"
"vq;fis","Legacy Font Encoding","எங்களை","எங்களை"
"nay;yhk;","Legacy Font Encoding","யெல்லாம்","யெல்லாம்"
"tpl;bl;Lg;","Legacy Font Encoding","விட்டிட்டுப்","விட்டிட்டுப்"
"Nghapl;bNa""","Legacy Font Encoding","போயிட்டியே""","போயிட்டியே"""
"rpije;J","Legacy Font Encoding","சிதைந்து","சிதைந்து"
"cUf;Fiye;J","Legacy Font Encoding","உருக்குலைந்து","உருக்குலைந்து"
"NghapUe;j","Legacy Font Encoding","போயிருந்த","போயிருந்த"
"vd;","Legacy Font Encoding","என்","என்"
"tPl;Lf;Fs;","Legacy Font Encoding","வீட்டுக்குள்","வீட்டுக்குள்"
">Ue;J","Legacy Font Encoding","இருந்து","இருந்து"
"xypj;j","Legacy Font Encoding","ஒலித்த","ஒலித்த"
